页面路由,页面级别,业务类型,接口Key,接口方法,接口地址,接口作用描述,优先级,风险等级,目前实现状态,使用页面数,备注
/agents/serviceComplaints,二级,代理商,accountManagerComplaintCjDetails,POST,/userCenterForeignWeb/accountManagerComplaint/cjDetails,,P2,低,OpenAPI未实现,1,
/agents/serviceComplaints,二级,代理商,accountManagerComplaintMyComplaintList,POST,/userCenterForeignWeb/accountManagerComplaint/my/complaintList,,P2,低,OpenAPI未实现,1,
/agents/serviceOrders,二级,代理商,accountManagerComplaintSubmit,POST,/userCenterForeignWeb/accountManagerComplaint/submit,,P2,中,OpenAPI未实现,1,
/agents/serviceOrders,二级,代理商,accountManagerOrderMyOrderList,POST,/userCenterForeignWeb/accountManagerOrder/myOrderList,,P2,低,OpenAPI未实现,1,
/agents/serviceOrders,二级,代理商,accountManagerTerminateService,POST,/userCenterForeignWeb/accountManagerOrder/terminateService,,P2,低,OpenAPI未实现,1,
/authorize,一级,授权/店铺,confirmWarehouseAddressChange,POST,/cj-platform-web/shop/confirmWarehouseAddressChange,,P2,中,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,queryCjWarehouseAddress,POST,/cj-platform-web/shop/logistics/queryCjWarehouseAddress,,P1,低,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,queryCJWarehouseList,POST,/cj-platform-web/shop/logistics/queryCJWarehouseList,,P1,低,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,queryShopInventorySyncSetting,POST,/cj-platform-web/shop/query/queryShopInventorySyncSetting,,P2,低,OpenAPI未实现,0,
/authorize,一级,授权/店铺,queryShopInventorySyncSettingNew,POST,/cj-platform-web/shop/query/queryShopInventorySyncSettingNew,,P2,低,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,queryWarehouseList,POST,/cj-platform-web/shop/logistics/queryWarehouseList,,P1,低,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,shopProductNew,POST,/cj-platform-web/product/shopProductNew,,P2,低,OpenAPI未实现,1,共享组件使用
/authorize,一级,授权/店铺,synchronizeInventory,POST,/cj-platform-web/shop/synchronizeInventory,,P2,低,OpenAPI未实现,0,
/authorize,一级,授权/店铺,synchronizeInventoryNew,POST,/cj-platform-web/shop/synchronizeInventoryNew,,P2,低,OpenAPI未实现,1,共享组件使用
/authorize/authorizeList,二级,授权/店铺,accreditShop,POST,/userCenterForeignWeb/account/accreditShop,,P2,低,OpenAPI未实现,1,
/authorize/authorizeList,二级,授权/店铺,deleteShop,POST,/cj-platform-web/shop/deleteShop,,P2,高,OpenAPI未实现,1,
/authorize/authorizeList,二级,授权/店铺,getAuthorizeUrl,POST,/cj-platform-web/shop/getAuthorizeUrl,,P2,低,OpenAPI已实现+已有文档,2,
/authorize/authorizeList,二级,授权/店铺,getLogisticsWay,GET,/cujiaLogisticsFreight/operation/getLogisticsWay,,P2,低,OpenAPI部分实现,1,
/authorize/authorizeList,二级,授权/店铺,getReachableCountry,POST,/cujiaLogisticsFreight/operation/getReachableCountry,,P2,低,OpenAPI未实现,4,
/authorize/authorizeList,二级,授权/店铺,getShopLogisticsSort,POST,/cj-platform-web/shop/logisticsPriority/query,,P1,低,OpenAPI未实现,1,
/authorize/authorizeList,二级,授权/店铺,getTemuCwAuthCode,POST,/cj-platform-web/shop/getTemuCwAuthCode,,P2,低,OpenAPI未实现,1,
/authorize/authorizeList,二级,授权/店铺,orderPushConfigure,POST,/cj-platform-web/shop/configure/orderPushConfigure,,P2,低,OpenAPI未实现,1,
